price,price_ghdd,hidden,cat_en,catDesc_en,name_en,nameDesc_en,cat_es,catDesc_es,name_es,nameDesc_es,cat_ang,catDesc_ang,name_ang,nameDesc_ang,cat_tlh,catDesc_tlh,name_tlh,nameDesc_tlh
$10,$13,,,,Cuban Pulled Pork,Roasted Pork with pickles and BBQ Sauce on a toasted Brioche Bun,,,Sándwich BBQ,Panecito suave con lechón y pepinillos con salsa BBQ,,,,,,,,
,,,Sopas Cubanas,Homemade soups,Sopa de Pollo,Chicken soup with fresh chicken and vegetables,Sopas Cubanas,,Sopa de Pollo,,Drincfóda ond Ofett,,Cicenedrincfóda,,,,,
,,,,,,,,,,,,,,,,,,
$6,$8,,,,Bowl,,,,Tazón,,,,:Bolla,,,,,
,,,,,Frijoles Negros,Traditional black bean soup,,,Frijoles Negros,,,,Blæcbéana,,,,,
,,,,,,,,,,,,,,,,,,
$6,$8,,,,Bowl,,,,Tazón,,,,:Bolla,,,,,
,,,,,Frijoles Colorados,Traditional red bean soup,,,Frijoles Colorados,,,,Reod Béana,,,,,
,,,,,,,,,,,,,,,,,,
$6,$8,,,,Bowl,,,,Tazón,,,,:Bolla,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Platos de la Casa,"All house plates come with white rice, black beans and a side",,,Platos de la Casa,"Servidos con unos acompañantes: arróz blanco, frijoles negros y plátanos",,,Húsdiscas,Mid án geférscipian,Arróz con Pollo,"Cicenbréadru mid geolwum hwítecorne, cípum, piporum, ond cúbaniscum swæcce",,,,
$16,$20,,,,Lechón,"Shredded, slow roasted pork",,,Lechón,,,,Lechón,"Gescearged, gebræded swin",,,,
$16,$20,,,,Picadillo,Cuban seasoned ground beef,,,Picadillo,,,,Picadillo,Cúbanisc cócnod cú,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
$17,$22,,,,Ropa Vieja,"Shredded beef marinated with onions, peppers and garlic",,,Ropa Vieja,,,,Ropa Vieja,Gescearged cú mid piporum ond cípum,,,,
,,,,,,,,,,,,,,,,,,
$12,$15,,Hamburguesas,,Cuban Fritas ,"Two Cuban sliders with ground beef mixed with chorizo, grilled onions, mini fries, and a secret homemade sauce",Hamburguesas,,Fritas Cubanas,Dos hamburguesitas de carne y chorizo con cebollas y papitas fritas con una salsa secreta hecha en casa,Burgeras ond Cúhláffóda,,Cúbanisca Fritas,Twá burgercenu of cý ond ceoriso mid cípum ond hierstedum eorþæpplum mid déaglum dyppe,,,,
$10,$13,,,,Buckeye Burgers,"Two all-american sliders with mustard, pickles and american cheese",,,Buckeye Burgers,"Dos hamburguesitas americanas con mostaza, pepinillos, y queso americano",,,Bucéageburger,"Twá americanisc burgercenu mid senepe, hwerhwettum, ond americaniscum cíese",,,,
,,,,,,,,,,,,,,,,,,
$5,$7,,Sides,,Maduros,Soft and sweet plantains,Acompañantes,,Maduros,,Geférscipian,,Maduros,Henesce ond swéte wegbrǽda,,,,
$4,$5,,,,Tostones,Crunchy salty plantains served with garlic oil dipping sauce,,,Tostones,,,,Tostones,Sealte ond hearde wegbrǽda,,,,
$4,$5,,,,White Rice,,,,Arróz Blanco,,,,Hwítecorn,,,,,
$4,$5,,,,French Fries,,,,Papas Fritas,,,,Hierstede Eorþæppla,,,,,
$4,$5,,,,Yuca,Root vegetable deep fried with garlic oil dipping sauce,,,Yuca,,,,Yuca,Hwíte wyrtrum,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
menu,,,,,Drink,,,,Bebidas,,,,Drincas,,,,zuz,
$2,$3,,Cold Drinks,,"Soda, Bottled Water","Coke, Diet Coke, and Sprite are available",Bebidas Frías,,"Gaseosa, Botella de Agua","Coca-Cola, Coca-Cola de Dieta, y Sprite están disponibles",Cealde Drincas,,"Soda, Té, Wæter","Wé habbaþ Coke, Diet Coke, ond Sprite.",zuz bir,,"sip zuz, darg, bik","<span class=""lat"">Coke, Diet Coke, Sprite</span> je DIghaj"
$3,$4,,,,Cuban Soda,"Materva, Jupiña, Iron Beer",,,Gaseosa Cubana,"Iron Beer, Materva, Jupiña",,,Cúbanisc Soda,"Iron Beer, Materva, Jupiña",,,quba'vo' sip zuz,"<span class=""lat"">Iron Beer, Materva, Jupiña</span>"
image,,,,,/images/FoodPhotos/CubanSodas.webp,Cuban Sodas,,,/images/FoodPhotos/CubanSodas.webp,Gaseosas Cubanas,,,/images/FoodPhotos/CubanSodas.webp,Cúbanisc Sodas,,,/images/FoodPhotos/CubanSodas.webp,quba'vo' sip zuzmey
,,,,,,,,,,,,,,,,,,
$4,$5,,,,Cuban Milkshake,Ask what flavors are available,,,Batido Cubano,Sabores de temporada,,,Cúbanisc Meolcsceac,Bid us hwæt wé habbaþ.,,,,
image,,,,,/images/FoodPhotos/MangoShake.webp,Mango Milkshake,,,/images/FoodPhotos/MangoShake.webp,Batido de Mango,,,/images/FoodPhotos/MangoShake.webp,Meolcsceac mid Mango,,,,
,,,,,,,,,,,,,,,,,,
,,,Hot Drinks,,Cafecito,Traditional Cuban Espresso,Bebidas Calientes,,Cafecito,Café Expreso Cubano Tradicional,Hát Drincas,,Cafecito,Cúbanisc caffig,,,,
$2,$3,,,,:Single,,,,:Soltero,,,,:Ánfeald,,,,,
$3,$4,,,,:Double,,,,:Doble,,,,:Twifeald,,,,,
,,,,,Café con Leche,Cuban espresso with steamed milk,,,Café con Leche,Café expreso cubano tradicional con leche espumosa,,,Café con Leche,Cúbanisc caffig mid meolcfám,,,,
$3,$4,,,,:12oz,,,,:12oz,,,,:xii oz,,,,,
$4,$5,,,,:16oz,,,,:16oz,,,,:xvi oz,,,,,
image,,,,,/images/FoodPhotos/CafeConLeche.webp,Café con Leche,,,/images/FoodPhotos/CafeConLeche.webp,Café con Leche,,,/images/FoodPhotos/CafeConLeche.webp,Café con Leche,,,,
$3,$4,,,,Cortadito,Cuban espresso topped off with small amount of steamed milk,,,Cortadito,Café expreso cubano tradicional con un poquito de leche espumosa,,,,,,,,
$5,$7,,,,Colada,2 double shots of espresso (perfect for sharing!),,,Colada,Dos tragos dobles de café expreso (perfectos para compartir!),,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
menu,,,,,Dessert,,,,Postres,,,,Gabotan,,,,su'gar suj,
$4,$5,,Desserts,,Flan,Vanilla custard with caramel sauce,Postres,,Flan,,Gabotan,,Flan,,su'gar suj,,"<span class=""lat"">Flan</span>",
$4,$5,,,,Tres Leches,"Three layer cake: milk, cake, and frosting",,,Tres Leches,,,,Tres Leches,,,,,
